,CityId,Latitude,Longitude,PopLog,CityName
131,8145,46.7351826,18.0389133,3.627571,Tab
132,8342,46.7867617,17.696520899999996,3.67532,Balatonlelle
133,8343,47.2353177,18.6605263,3.729084,Velence
134,8344,47.3850605,19.3453263,4.058236,Ullo
135,8345,46.6245749,16.5366668,3.901513,Lenti
136,8542,47.5483115,18.7174344,3.73878,Zsambek
137,8543,46.229143,17.357096399999996,4.030762,Nagyatad
138,8544,47.3011895,19.2313617,3.960756,Ocsa
139,8742,47.1887402,20.0047823,4.172486,Abony
140,8743,47.3226787,18.9632427,4.017701000000001,Tokol
141,8744,47.32997810000001,19.0623899,3.805773,Taksony
142,8745,46.82499620000001,21.0297382,4.037267,Mezobereny
143,8942,47.3195803,21.1123019,4.167258,Puspokladany
144,8943,47.3245067,19.0001884,4.241447,Szigethalom
145,8945,47.956619,21.3680532,4.098678,Tiszavasvari
146,8946,47.59370429999999,17.0274824,4.015066,Kapuvar
147,8947,46.7862993,20.9820736,4.295853,Bekes
148,8948,46.7467521,17.54946,3.674677,Fonyod
149,9142,47.2519697,18.8983773,3.903036,Ercsi
150,9143,47.4138187,19.7503736,4.099093,Nagykata
151,9144,47.6532732,19.4747432,3.807129,Aszod
152,9145,47.363105,18.9811444,3.96895,Halasztelek
153,9146,47.5986636,19.2384215,3.801747,Mogyorod
154,9342,45.852096,18.2981568,3.983671,Siklos
155,9343,46.88743710000001,18.6196247,4.095098999999999,Sarbogard
156,9542,47.2029902,18.6261959,3.996818,Gardony
157,9544,47.60935,19.5949442,3.888236,Tura
158,9545,47.6216447,16.8645968,3.5392010000000003,Fertod
159,9546,46.5820205,19.3942728,3.871164,Soltvadkert
160,9742,47.10924470000001,20.7358057,3.941561,Turkeve
161,9942,47.4448813,18.7504665,3.64365,Etyek
162,9943,47.53033350000001,19.401700100000006,4.05679,Isaszeg
163,9944,48.1235534,21.4113895,3.684756,Tokaj
164,9945,47.2613795,17.8718188,3.851014,Zirc
165,9946,47.1385777,18.7576092,3.777934,Pusztaszabolcs
166,9947,48.1633851,21.201088100000003,3.959041000000001,Szerencs
167,9948,47.6931455,18.9024298,3.34811,Pilisszentkereszt
168,9949,46.9315289,20.1045358,4.050651,Tiszakecske
169,9950,47.7937922,19.0352037,3.512551,Dunabogdany
170,9951,46.952850700000006,16.2748541,3.946403,Szentgotthard
171,9952,47.6134153,17.249795499999998,4.027309,Csorna
172,9953,47.6827581,19.263848,3.871515,Orbottyan
173,9954,47.551193,18.8206574,3.590953,Telki
174,9955,47.7884409,20.1714412,4.019698,Heves
175,10142,47.5987004,19.0134262,3.864393,Urom
176,10342,47.78911420000001,18.9587262,3.678518,Nagymaros
177,10343,47.1903391,19.00569,3.953663,Kiskunlachaza
178,10344,47.7398038,18.6543708,3.727785,Tat
179,10345,46.1933095,18.7241126,3.805365,Bataszek
180,10346,47.6697354,18.886467,3.398461,Pilisszanto
181,10542,47.444962200000006,19.359313600000004,4.0787830000000005,Maglod
182,10742,46.9438023,17.0790205,3.811105,Zalaszentgrot
183,10743,47.839511,22.1322309,4.079832,Nyirbator
184,10744,46.8491197,17.879240300000006,3.31471,Balatonfoldvar
185,10745,46.9358032,20.8260916,4.135896,Gyomaendrod
186,10746,48.4063743,22.1778835,3.5996650000000003,Zahony
187,10942,47.93032410000001,19.1375901,3.4616480000000003,Retsag
188,10943,47.75419160000001,19.084289,3.752509,Tahitotfalu
189,10944,47.718888,19.0888422,3.5689050000000004,Leanyfalu
190,10945,46.7599676,20.7950557,3.716087,Kondoros
191,10946,48.0814012,19.5214674,3.754501,Szecseny
