CityId,CityName,PopLog,eov_x,eov_y
6342,Mateszalka,4.229349,894434.7124137073,295146.6702239675
6343,Ecser,3.569842,670439.2178729554,233428.07030970827
6542,Martonvasar,3.7642510000000002,630431.9259085499,218930.73939465598
6543,Csongrad,4.226497,740680.3213677271,123691.65986950998
6742,Sarvar,4.169204,490061.96971959004,214127.6622249653
6743,Komlo,4.398287,589313.494276789,94372.9929753205
6744,Barcs,4.056066,527198.4326309355,69675.10765581949
6745,Tamasi,3.92371,591615.4270770422,143066.86948008285
6746,Albertirsa,4.093772,692796.3338935393,211449.34104665203
6747,Satoraljaujhely,4.18625,843179.9614579706,342425.8994723972
6942,Pannonhalma,3.595165,552661.1312970992,245950.53435996303
7142,Karcag,4.3005949999999995,791867.7850129011,220657.9717205593
7143,Tiszafured,4.02914,778003.7752480556,253528.44382395674
7144,Torokszentmiklos,4.323108,753206.5330599732,204814.38636861046
7145,Heviz,3.640978,507698.1202910279,162399.84957738555
7343,Hajduboszormeny,4.495627,834739.5790909985,261553.5948727314
7542,Gyal,4.3708089999999995,662825.0413558242,226741.04605334022
7742,Pilis,4.059185,687768.3288621805,215899.82950626092
7743,Tarnok,3.966236,636295.8039894799,224779.30760102434
7942,Balatonboglar,3.7732010000000002,543692.2222244649,160309.90911424183
7943,Sulysap,3.9186589999999994,685744.5376520731,234585.69354771028
7944,Solt,3.7983050000000014,646731.8663459424,161997.52066659264
8142,Mohacs,4.269606,621690.5941770423,72147.02937501838
8143,Mezotur,4.238974,770341.5726485911,185247.68048797536
8144,Marcali,4.0632209999999995,524684.0903115761,138974.91995055194
8145,Tab,3.627571,572921.0718628694,155038.77803449784
8342,Balatonlelle,3.6753199999999997,546854.9166958627,161166.79982221176
8343,Velence,3.729084,620703.5245961922,210210.47922524638
8344,Ullo,4.058236,672490.8205005411,226827.1284411706
8345,Lenti,3.9015129999999996,457743.54905679467,145335.74559649467
8542,Zsambek,3.73878,625159.7073473934,244986.6282770834
8543,Nagyatad,4.030762,519602.06756319007,99700.331787
8544,Ocsa,3.960756,663907.9536596242,217476.7171802222
8742,Abony,4.172486,722547.4212103529,205403.13030584255
8743,Tokol,4.0177010000000015,643634.6370063215,219852.9834466398
8744,Taksony,3.8057730000000003,651129.25750503,220661.0505620649
8745,Mezobereny,4.037267,801232.0541107709,166440.4282207876
8942,Puspokladany,4.167258,806078.0050003,221564.87462197692
8943,Szigethalom,4.241447,646427.5725874071,220053.8206407928
8945,Tiszavasvari,4.098678,823302.7988433017,292902.381297071
8946,Kapuvar,4.015066,498101.9005949474,251945.33118067813
8947,Bekes,4.295853,797702.789835757,162049.06874209523
8948,Fonyod,3.6746769999999995,535542.7371344819,156924.85895157888
9142,Ercsi,3.903036,638716.2294419503,211999.68666522484
9143,Nagykata,4.099093,703043.9731832991,230219.55231722107
9144,Aszod,3.807129,682099.4922301953,256690.76281926755
9145,Halasztelek,3.96895,644991.7340127208,224345.89251349747
9146,Mogyorod,3.801747,664361.4246467919,250549.29666517768
9342,Siklos,3.9836709999999997,591790.899750537,56653.657065306004
9343,Sarbogard,4.095098999999999,617394.4937736335,171555.0654512235
9542,Gardony,3.996818,618084.7664487511,206630.21923365517
9544,Tura,3.888236,691163.2140912887,251863.70648507058
9545,Fertod,3.5392010000000003,485942.9678651836,255379.96401436444
9546,Soltvadkert,3.871164,676581.4922080454,137573.5778524195
9742,Turkeve,3.941561,778129.0793359104,197504.83775807524
9942,Etyek,3.64365,627602.2272734472,233477.81597707278
9943,Isaszeg,4.05679,676674.199434009,242995.27877312817
9944,Tokaj,3.6847559999999997,825977.0483360828,311553.6369252166
9945,Zirc,3.851014,561032.1318606519,213705.0444179355
9946,Pusztaszabolcs,3.7779339999999997,628014.2313195043,199424.3180433904
9947,Szerencs,3.9590410000000014,810203.9361137138,315529.10761781683
9948,Pilisszentkereszt,3.3481099999999997,639114.5713054183,261046.6943949304
9949,Tiszakecske,4.050651,730492.7489076608,176910.18419152455
9950,Dunabogdany,3.512551,649083.1723164921,272226.86418531154
9951,Szentgotthard,3.946403,438998.56303120044,182482.10483128132
9952,Csorna,4.027309,514866.8276138129,253727.73674205889
9953,Orbottyan,3.871515,666247.7100593852,259903.86830459916
9954,Telki,3.590953,632930.3285279529,245279.21351836453
9955,Heves,4.019698,734218.2194993644,272236.37453205086
10142,Urom,3.864393,647441.8504243606,250536.60351411323
10342,Nagymaros,3.678518,643352.7172779782,271710.50663955504
10343,Kiskunlachaza,3.9536629999999997,646835.289247631,205138.3231012552
10344,Tat,3.727785,620520.2075775932,266298.56907450757
10345,Bataszek,3.805365,625037.4317298114,94357.13722116147
10346,Pilisszanto,3.398461,637910.9279442356,258446.28445167985
10542,Maglod,4.0787830000000005,673520.4115548636,233490.62946424802
10742,Zalaszentgrot,3.8111050000000004,500156.53664760024,179619.8639206317
10743,Nyirbator,4.079832,880859.3014849598,281863.5543253851
10744,Balatonfoldvar,3.31471,560908.235539318,167872.8650758837
10745,Gyomaendrod,4.135896,785418.1856806568,178381.20628456445
10746,Zahony,3.5996650000000003,881750.8869172074,344985.969481107
10942,Retsag,3.4616480000000003,656736.8557300505,287411.44434766256
10943,Tahitotfalu,3.752509,652762.77123959,267824.39159737015
10944,Leanyfalu,3.5689050000000004,653106.1947563515,263899.368211427
10945,Kondoros,3.7160870000000004,783492.3892013791,158786.57922788503
10946,Szecseny,3.7545010000000003,685321.3033737749,304313.4623451689
